Material,Time lapse,First Derivative
38-1482-03,366.066667,-0.17999640007217818
38-1482-03,366.083333,0.12000480019210481
38-1482-03,366.1,0.059998800023859204
38-1482-03,366.116667,-0.05999880002406383
38-1482-03,366.133333,0.0
38-1482-03,366.15,0.05999880002406383
38-1482-03,366.166667,0.0
38-1482-03,366.183333,-0.06000240009605907
38-1482-03,366.2,0.0
38-1482-03,366.216667,0.0
38-1482-03,366.233333,0.12000480019169552
38-1482-03,366.25,-0.17999640007216486
38-1482-03,366.266667,0.05999880002405051
38-1482-03,366.283333,0.0
38-1482-03,366.300293,0.058962264151008366
38-1482-03,366.31696,0.05999880002405051
38-1482-03,366.333626,0.0
38-1482-03,366.350293,0.0
38-1482-03,366.36696,-0.05999880002405051
38-1482-03,366.383626,-0.06000240009605907
38-1482-03,366.400293,0.11999760004811434
38-1482-03,366.41696,0.0
38-1482-03,366.433626,-0.060002400096045745
38-1482-03,366.450293,0.0
38-1482-03,366.46696,0.05999880002405051
38-1482-03,366.483626,0.12000480019169552
38-1482-03,366.500293,-0.23999520009622868
38-1482-03,366.51696,0.05999880002406383
38-1482-03,366.533626,0.12000480019169552
38-1482-03,366.550293,0.0
38-1482-03,366.56722,-0.05907721391856441
38-1482-03,366.583887,-0.05999880002405051
38-1482-03,366.600553,0.0
38-1482-03,366.61722,0.05999880002405051
38-1482-03,366.633887,0.0
38-1482-03,366.650553,0.0
38-1482-03,366.66722,-0.05999880002405051
38-1482-03,366.683887,0.17999640007155096
38-1482-03,366.700553,-0.24000960038420963
38-1482-03,366.71722,0.11999760004811434
38-1482-03,366.733887,0.05999880002406383
38-1482-03,366.750553,0.0
38-1482-03,366.76722,0.05999880002405051
38-1482-03,366.783887,-0.05999880002405051
38-1482-03,366.800553,0.0
38-1482-03,366.81722,-0.059998800023859204
38-1482-03,366.83418,0.058962264151008366
38-1482-03,366.850846,0.0
38-1482-03,366.867513,0.0
38-1482-03,366.88418,0.05999880002384588
